id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;realm;biome;ecoregion;country;region;continent;annualp;pseason;mairtemp;gslength;npp;nit_gkg;soc_gkg;ph;bd_gcm3;biome2
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p102_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p102_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p102;NA;p102;51.143505;3.924838;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;12;NA;NA;695.736778;6;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.2;14.7;10.550000000000011;365;1250;2.51;41.8;6.1;12.9;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p103_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p103_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p103;NA;p103;51.069476;3.364205;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;12;NA;NA;533.718886;5;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.3000000000001;13.4;10.550000000000011;365;1250.1;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p106_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p106_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p106;NA;p106;51.068995;3.36266;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;21;NA;NA;1124.121860561;10;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.3000000000001;13.4;10.550000000000011;365;1250.1;2.43;24.8;5.9;13.1;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p107_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p107_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p107;NA;p107;51.072363;3.358136;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;19;NA;NA;952.130116561;9;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;841.6;13.4;10.550000000000011;365;1249.3000000000002;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p109_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p109_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p109;NA;p109;51.168276;3.997277;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;8;NA;NA;0.004167;1;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;849.7;14.5;10.550000000000011;365;1258.4;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p11_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p11_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p11;NA;p11;51.123826;3.232187;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;20;NA;NA;959.620403;8;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.5;14;10.550000000000011;365;1244.7;2.73;44.9;5.7;13;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p110_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p110_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p110;NA;p110;51.167104;3.993569;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;5;NA;NA;369.875247561;3;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;849.7;14.5;10.550000000000011;365;1258.4;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p115_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p115_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p115;NA;p115;51.151085;3.20561;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;14;NA;NA;861.4278395609999;8;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;838.3000000000001;14.7;10.650000000000034;365;1245.6;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p119_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p119_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p119;NA;p119;51.10304;4.054932;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;9;NA;NA;335.717408;3;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;843.3000000000001;13.8;10.650000000000034;365;1251.3000000000002;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p12_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p12_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p12;NA;p12;51.122759;3.233356;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;22;NA;NA;1134.038113561;11;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837;14;10.550000000000011;365;1244.2;3.07;40.7;5.4;12.6;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p123_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p123_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p123;NA;p123;51.142647;3.912014;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;12;NA;NA;281.749878;3;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.3000000000001;14.7;10.550000000000011;365;1250.1;2.38;55.6;6.2;12.7;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p125_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p125_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p125;NA;p125;51.146352;3.921867;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;18;NA;NA;1109.829818561;11;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.2;14.7;10.550000000000011;365;1250;2.34;49.2;6.3;13;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p126_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p126_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p126;NA;p126;51.144557;3.922485;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;15;NA;NA;788.021342561;8;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.2;14.7;10.550000000000011;365;1250;2.34;49.2;6.3;13;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p128_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p128_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p128;NA;p128;51.069955;3.373027;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;20;NA;NA;1100.056689561;11;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.7;13.4;10.550000000000011;365;1250.6;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p137_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p137_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p137;NA;p137;51.172631;3.198052;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;8;NA;NA;650.5248225610001;6;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;846.1;15;10.650000000000034;365;1254.4;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p138_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p138_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p138;NA;p138;51.172308;3.198175;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;7;NA;NA;493.838715561;4;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;846.1;15;10.650000000000034;365;1254.4;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p14_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p14_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p14;NA;p14;51.120607;3.228323;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;13;NA;NA;678.687685;6;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.5;14;10.550000000000011;365;1244.7;2.94;39.8;5.4;12.5;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p148_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p148_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p148;NA;p148;51.023047;3.832647;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;9;NA;NA;335.71746456100004;3;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;821.3000000000001;13.9;10.550000000000011;365;1226.5;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p149_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p149_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p149;NA;p149;51.023966;3.833079;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;12;NA;NA;641.689396561;6;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;821.3000000000001;13.9;10.550000000000011;365;1226.5;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p157_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p157_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p157;NA;p157;50.959527;3.738075;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;20;NA;NA;631.031288;7;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;838;13.4;10.450000000000044;365;1245.3000000000002;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p16_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p16_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p16;NA;p16;51.121014;3.224913;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;15;NA;NA;1110.751874561;10;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.5;14;10.550000000000011;365;1244.7;2.99;43.1;5.3;12.5;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p162_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p162_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p162;NA;p162;51.063066;3.411764;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;22;NA;NA;1096.642379561;12;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.8000000000001;13.4;10.550000000000011;365;1250.7;2.84;28.2;5.7;12.7;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p167_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p167_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p167;NA;p167;51.06281;3.412425;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;27;NA;NA;1044.826266561;11;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.8000000000001;13.4;10.550000000000011;365;1250.7;2.84;28.2;5.7;12.7;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p168_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p168_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p168;NA;p168;51.061953;3.411986;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;26;NA;NA;1140.527999561;11;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;842.8000000000001;13.4;10.550000000000011;365;1250.7;2.93;33.1;5.6;12.6;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p17_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p17_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p17;NA;p17;51.119869;3.221742;147;< 147;2009;maximum;recovering;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;agricultural land;NA;2;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;farming;NA;NA;logging;logging;0;0;none;regular;community;species;94;12;NA;NA;543.783401561;5;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;837.7;14.1;10.650000000000034;365;1245;3.2;38.3;5.8;12.9;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p171_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p171_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p171;NA;p171;51.242395;4.066742;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;18;NA;NA;601.9590890000001;7;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;866.6;14.7;10.550000000000011;365;1277.1;NA;NA;NA;NA;temperate
PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p172_NA;PR;Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p172_NA;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium;Baeten et al. 2010a;Ancient and post agricultural forests_Belgium;p172;NA;p172;51.242618;4.066225;234;> 234;2009;minimum;reference;herbaceous;presence;occurrence;occurrence (presence/absence);no;visual encounter survey;1;NA;1;78;1;deforestation and reforestation phases. Early impacts in pre-history;NA;none;NA;0;some cuttings are probable, but not more recent than 10 years;Alluvial forests. Assuming that those plots are the once measured in 2009 but not in 1980;NA;herbs;users;none;NA;NA;logging;logging;0;0;none;regular;community;species;94;19;NA;NA;685.0878823410001;7;0.02439024390243902;Palearctic;Temperate Broadleaf and Mixed Forests;Atlantic Mixed Forests;Belgium;Europe;Eurasia;866.9000000000001;14.8;10.550000000000011;365;1277.5;NA;NA;NA;NA;temperate
